Issue Key,Title,Link,Labels,Project ID,Status,Description Filename,Resolution,Comments Filename
FLEX-33367,flash.display.Loader intermitently causing children of loaded swf to loose type,https://issues.apache.org/jira/browse/FLEX-33367,loader,12313521,Resolved,intermit_apache_jira_description_comments/FLEX-33367_description.txt,Invalid,intermit_apache_jira_description_comments/FLEX-33367_comments.txt
TUSCANY-3383,Atom binding tests fail intermitently as remote url aren't available,https://issues.apache.org/jira/browse/TUSCANY-3383,,12310210,Closed,intermit_apache_jira_description_comments/TUSCANY-3383_description.txt,Fixed,intermit_apache_jira_description_comments/TUSCANY-3383_comments.txt
OPENMEETINGS-1828,new message notification sound not working / intermitent,https://issues.apache.org/jira/browse/OPENMEETINGS-1828,,12312720,Closed,intermit_apache_jira_description_comments/OPENMEETINGS-1828_description.txt,Information Provided,intermit_apache_jira_description_comments/OPENMEETINGS-1828_comments.txt
FLUME-2136,Windows - Fix intermitent test failure in TestMonitoredCounterGroup.java,https://issues.apache.org/jira/browse/FLUME-2136,windows,12311321,Patch Available,intermit_apache_jira_description_comments/FLUME-2136_description.txt,,intermit_apache_jira_description_comments/FLUME-2136_comments.txt
SMXCOMP-695,WSNComponentTest intermitently fail or hang on slow machine,https://issues.apache.org/jira/browse/SMXCOMP-695,,12311212,Resolved,intermit_apache_jira_description_comments/SMXCOMP-695_description.txt,Fixed,intermit_apache_jira_description_comments/SMXCOMP-695_comments.txt
STORM-464,Simulated time advanced after test cluster exits causes intermitent test failures,https://issues.apache.org/jira/browse/STORM-464,,12314820,Resolved,intermit_apache_jira_description_comments/STORM-464_description.txt,Fixed,intermit_apache_jira_description_comments/STORM-464_comments.txt
CASSANDRA-10373,Intermitent failures of upgrade_tests.cql_tests:TestCQL.compact_metadata_test,https://issues.apache.org/jira/browse/CASSANDRA-10373,,12310865,Resolved,intermit_apache_jira_description_comments/CASSANDRA-10373_description.txt,Fixed,intermit_apache_jira_description_comments/CASSANDRA-10373_comments.txt
PROTON-2655,[proton-dotnet] Fix intermitent test failures on slow machines,https://issues.apache.org/jira/browse/PROTON-2655,,12313720,Resolved,intermit_apache_jira_description_comments/PROTON-2655_description.txt,Fixed,intermit_apache_jira_description_comments/PROTON-2655_comments.txt
BAHIR-69,Release script fails intermitently when publishing to staging maven repo,https://issues.apache.org/jira/browse/BAHIR-69,,12320122,Closed,intermit_apache_jira_description_comments/BAHIR-69_description.txt,Fixed,intermit_apache_jira_description_comments/BAHIR-69_comments.txt
CB-10536,Intermitent failure of tests related to cordova-plugin-file-transfer are failing,https://issues.apache.org/jira/browse/CB-10536,"android, found-by-ci",12312420,Closed,intermit_apache_jira_description_comments/CB-10536_description.txt,Fixed,intermit_apache_jira_description_comments/CB-10536_comments.txt
FLEX-22213,[TLF 2496260] Intermitted slow HTML render speed textFlow/RichEditableText,https://issues.apache.org/jira/browse/FLEX-22213,,12313521,Closed,intermit_apache_jira_description_comments/FLEX-22213_description.txt,Fixed,intermit_apache_jira_description_comments/FLEX-22213_comments.txt
HDFS-14735,File could only be replicated to 0 nodes instead of minReplication (=1),https://issues.apache.org/jira/browse/HDFS-14735,,12310942,Resolved,intermit_apache_jira_description_comments/HDFS-14735_description.txt,Not A Problem,intermit_apache_jira_description_comments/HDFS-14735_comments.txt
FLEX-21073,[GUMBO_PRIORITY] Exception on building/compiling flex project,https://issues.apache.org/jira/browse/FLEX-21073,,12313521,Closed,intermit_apache_jira_description_comments/FLEX-21073_description.txt,Fixed,intermit_apache_jira_description_comments/FLEX-21073_comments.txt
AMBARI-23049,Minor post merge fixes,https://issues.apache.org/jira/browse/AMBARI-23049,pull-request-available,12312020,Resolved,intermit_apache_jira_description_comments/AMBARI-23049_description.txt,Fixed,intermit_apache_jira_description_comments/AMBARI-23049_comments.txt
QPID-123,Sporadic failure on Python tests,https://issues.apache.org/jira/browse/QPID-123,,12310520,Closed,intermit_apache_jira_description_comments/QPID-123_description.txt,Fixed,intermit_apache_jira_description_comments/QPID-123_comments.txt
OPENMEETINGS-315,Issues in My conference room,https://issues.apache.org/jira/browse/OPENMEETINGS-315,,12312720,Closed,intermit_apache_jira_description_comments/OPENMEETINGS-315_description.txt,Cannot Reproduce,intermit_apache_jira_description_comments/OPENMEETINGS-315_comments.txt
HARMONY-4848,[buildtest][eut] EFL must be corrected based on M3 status,https://issues.apache.org/jira/browse/HARMONY-4848,,12310050,Closed,intermit_apache_jira_description_comments/HARMONY-4848_description.txt,Fixed,intermit_apache_jira_description_comments/HARMONY-4848_comments.txt
HADOOP-15735,backport HADOOP-11687 for hadoop-aws 2.7.x,https://issues.apache.org/jira/browse/HADOOP-15735,,12310240,Resolved,intermit_apache_jira_description_comments/HADOOP-15735_description.txt,Fixed,intermit_apache_jira_description_comments/HADOOP-15735_comments.txt
IMPALA-9357,Fix race condition in alter_database event,https://issues.apache.org/jira/browse/IMPALA-9357,"broken-build, flaky-test",12321021,Resolved,intermit_apache_jira_description_comments/IMPALA-9357_description.txt,Fixed,intermit_apache_jira_description_comments/IMPALA-9357_comments.txt
LOGCXX-222,trunk compile error.,https://issues.apache.org/jira/browse/LOGCXX-222,,10550,Resolved,intermit_apache_jira_description_comments/LOGCXX-222_description.txt,Fixed,intermit_apache_jira_description_comments/LOGCXX-222_comments.txt
SENTRY-2075,Previous HMS event with incomplete message information is logged every 500ms,https://issues.apache.org/jira/browse/SENTRY-2075,,12314720,Open,intermit_apache_jira_description_comments/SENTRY-2075_description.txt,,intermit_apache_jira_description_comments/SENTRY-2075_comments.txt
SQOOP-2857,Sqoop2: toParquetTest fails frequently on the pre-commit hook,https://issues.apache.org/jira/browse/SQOOP-2857,,12311320,Resolved,intermit_apache_jira_description_comments/SQOOP-2857_description.txt,Fixed,intermit_apache_jira_description_comments/SQOOP-2857_comments.txt
HELIX-7,Tune test parameters to fix random test failures,https://issues.apache.org/jira/browse/HELIX-7,,12314020,Resolved,intermit_apache_jira_description_comments/HELIX-7_description.txt,Fixed,intermit_apache_jira_description_comments/HELIX-7_comments.txt
NETBEANS-5644,Find in File Window Causes Netbeans to Hang,https://issues.apache.org/jira/browse/NETBEANS-5644,,12320634,Closed,intermit_apache_jira_description_comments/NETBEANS-5644_description.txt,Invalid,intermit_apache_jira_description_comments/NETBEANS-5644_comments.txt
FELIX-1923,SCR project misses explicit Maven Bundle Plugin version,https://issues.apache.org/jira/browse/FELIX-1923,,12310100,Closed,intermit_apache_jira_description_comments/FELIX-1923_description.txt,Fixed,intermit_apache_jira_description_comments/FELIX-1923_comments.txt
ZOOKEEPER-2798,Fix flaky test: org.apache.zookeeper.test.ReadOnlyModeTest.testConnectionEvents,https://issues.apache.org/jira/browse/ZOOKEEPER-2798,,12310801,Resolved,intermit_apache_jira_description_comments/ZOOKEEPER-2798_description.txt,Fixed,intermit_apache_jira_description_comments/ZOOKEEPER-2798_comments.txt
QPID-630,C++ broker dies/hangs during CommitRollbackTest,https://issues.apache.org/jira/browse/QPID-630,,12310520,Closed,intermit_apache_jira_description_comments/QPID-630_description.txt,Fixed,intermit_apache_jira_description_comments/QPID-630_comments.txt
CXF-7510,SSE integration in CDI abruptly fails with no indication why,https://issues.apache.org/jira/browse/CXF-7510,,12310511,Closed,intermit_apache_jira_description_comments/CXF-7510_description.txt,Fixed,intermit_apache_jira_description_comments/CXF-7510_comments.txt
ZEPPELIN-185,ZeppelinContext methods like z.show are not working with DataFrame in pyspark,https://issues.apache.org/jira/browse/ZEPPELIN-185,,12316221,Resolved,intermit_apache_jira_description_comments/ZEPPELIN-185_description.txt,Fixed,intermit_apache_jira_description_comments/ZEPPELIN-185_comments.txt
LUCENE-2881,Track FieldInfo per segment instead of per-IW-session,https://issues.apache.org/jira/browse/LUCENE-2881,,12310110,Closed,intermit_apache_jira_description_comments/LUCENE-2881_description.txt,Fixed,intermit_apache_jira_description_comments/LUCENE-2881_comments.txt
HCATALOG-154,HBase bulkOSD and directOSD return inconsistent path for getOutputLocation(),https://issues.apache.org/jira/browse/HCATALOG-154,hbase,12311291,Closed,intermit_apache_jira_description_comments/HCATALOG-154_description.txt,Fixed,intermit_apache_jira_description_comments/HCATALOG-154_comments.txt
HTTPCLIENT-1331,make HttpClientWithFutureTest.shouldExecuteMultipleCallsAndCallback more robust,https://issues.apache.org/jira/browse/HTTPCLIENT-1331,,12310360,Closed,intermit_apache_jira_description_comments/HTTPCLIENT-1331_description.txt,Fixed,intermit_apache_jira_description_comments/HTTPCLIENT-1331_comments.txt
ROL-939,New entries occassionally do not clear the weblog cache,https://issues.apache.org/jira/browse/ROL-939,,12310906,Closed,intermit_apache_jira_description_comments/ROL-939_description.txt,Incomplete,intermit_apache_jira_description_comments/ROL-939_comments.txt
TUSCANY-3445,OSGi build fails on Hudson - No such file or directory,https://issues.apache.org/jira/browse/TUSCANY-3445,,12310210,Resolved,intermit_apache_jira_description_comments/TUSCANY-3445_description.txt,Fixed,intermit_apache_jira_description_comments/TUSCANY-3445_comments.txt
MAPREDUCE-3530,Sometimes NODE_UPDATE to the scheduler throws an NPE causing the scheduling to stop,https://issues.apache.org/jira/browse/MAPREDUCE-3530,,12310941,Closed,intermit_apache_jira_description_comments/MAPREDUCE-3530_description.txt,Fixed,intermit_apache_jira_description_comments/MAPREDUCE-3530_comments.txt
BAHIR-128,Test failing sporadically in sql-cloudant's CloudantChangesDFSuite,https://issues.apache.org/jira/browse/BAHIR-128,,12320122,Resolved,intermit_apache_jira_description_comments/BAHIR-128_description.txt,Fixed,intermit_apache_jira_description_comments/BAHIR-128_comments.txt
DERBY-6352,"Access denied (""java.lang.RuntimePermission"" ""modifyThread"") highly intermittent, but e.g. in store.RecoveryAfterBackup test",https://issues.apache.org/jira/browse/DERBY-6352,,10594,Closed,intermit_apache_jira_description_comments/DERBY-6352_description.txt,Fixed,intermit_apache_jira_description_comments/DERBY-6352_comments.txt
FLEX-29720,CLONE -Unable to find automation method 'open' for class 'name: FlexTree  superClassName: FlexListBase,https://issues.apache.org/jira/browse/FLEX-29720,,12313521,Closed,intermit_apache_jira_description_comments/FLEX-29720_description.txt,Not A Problem,intermit_apache_jira_description_comments/FLEX-29720_comments.txt
FLEX-29688,Unable to find automation method 'open' for class 'name: FlexTree  superClassName: FlexListBase,https://issues.apache.org/jira/browse/FLEX-29688,,12313521,Closed,intermit_apache_jira_description_comments/FLEX-29688_description.txt,Fixed,intermit_apache_jira_description_comments/FLEX-29688_comments.txt
KAFKA-4184,Test failure in ReplicationQuotasTest.shouldBootstrapTwoBrokersWithFollowerThrottle,https://issues.apache.org/jira/browse/KAFKA-4184,,12311720,Reopened,intermit_apache_jira_description_comments/KAFKA-4184_description.txt,,intermit_apache_jira_description_comments/KAFKA-4184_comments.txt
DERBY-2616,intermittent network startup related errors in running junit nightly test suite,https://issues.apache.org/jira/browse/DERBY-2616,,10594,Closed,intermit_apache_jira_description_comments/DERBY-2616_description.txt,Fixed,intermit_apache_jira_description_comments/DERBY-2616_comments.txt
CB-12463,File Transfer FILE_NOT_FOUND error thrown when trying to transfer a file brought into file system using jcesarmobile/FilePicker-Phonegap-iOS-Plugin.  ,https://issues.apache.org/jira/browse/CB-12463,"cordova-plugin-file, cordova-plugin-file-transfer, jcesarmobile/FilePicker-Phonegap-iOS-Plugin",12312420,Closed,intermit_apache_jira_description_comments/CB-12463_description.txt,Invalid,intermit_apache_jira_description_comments/CB-12463_comments.txt
FLEX-30140,AIR Specific:Spark List drag and drop drops the element in the wrong position on replay,https://issues.apache.org/jira/browse/FLEX-30140,,12313521,Closed,intermit_apache_jira_description_comments/FLEX-30140_description.txt,Fixed,intermit_apache_jira_description_comments/FLEX-30140_comments.txt
SLING-2957,IT failures in FailingServerTests,https://issues.apache.org/jira/browse/SLING-2957,,12310710,Resolved,intermit_apache_jira_description_comments/SLING-2957_description.txt,Fixed,intermit_apache_jira_description_comments/SLING-2957_comments.txt
ODE-932,NullPointerException while deploying WS-BPEL1.1 project,https://issues.apache.org/jira/browse/ODE-932,,12310270,Open,intermit_apache_jira_description_comments/ODE-932_description.txt,,intermit_apache_jira_description_comments/ODE-932_comments.txt
ARTEMIS-177,Intermittent failure when removing a JMS topic with durable subscribers,https://issues.apache.org/jira/browse/ARTEMIS-177,,12315920,Closed,intermit_apache_jira_description_comments/ARTEMIS-177_description.txt,Fixed,intermit_apache_jira_description_comments/ARTEMIS-177_comments.txt
LUCENE-442,TestIndexModifier.testIndexWithThreads is not valid?,https://issues.apache.org/jira/browse/LUCENE-442,,12310110,Closed,intermit_apache_jira_description_comments/LUCENE-442_description.txt,Fixed,intermit_apache_jira_description_comments/LUCENE-442_comments.txt
AXIS-156,Exception contacting deployed service,https://issues.apache.org/jira/browse/AXIS-156,,10460,Resolved,intermit_apache_jira_description_comments/AXIS-156_description.txt,Fixed,intermit_apache_jira_description_comments/AXIS-156_comments.txt
MYFACES-1501,javax.faces.FacesException: InValid to flush BodyContent: no backing stream behind it,https://issues.apache.org/jira/browse/MYFACES-1501,,10600,Closed,intermit_apache_jira_description_comments/MYFACES-1501_description.txt,Won't Fix,intermit_apache_jira_description_comments/MYFACES-1501_comments.txt
DERBY-5197,AssertionFailedError: Could not connect in 20000 ms in ReplicationRun_Local_3_p2.testReplication_Local_3_p2_StateTests_bigInsert_immediateStopMaster,https://issues.apache.org/jira/browse/DERBY-5197,derby_triage10_11,10594,Closed,intermit_apache_jira_description_comments/DERBY-5197_description.txt,Cannot Reproduce,intermit_apache_jira_description_comments/DERBY-5197_comments.txt
FLEX-28649,SPUC SK Effects: Intermittent resizing behavior in Callouts,https://issues.apache.org/jira/browse/FLEX-28649,,12313521,Closed,intermit_apache_jira_description_comments/FLEX-28649_description.txt,Duplicate,intermit_apache_jira_description_comments/FLEX-28649_comments.txt
HDFS-6532,Intermittent test failure org.apache.hadoop.hdfs.TestCrcCorruption.testCorruptionDuringWrt,https://issues.apache.org/jira/browse/HDFS-6532,,12310942,Patch Available,intermit_apache_jira_description_comments/HDFS-6532_description.txt,,intermit_apache_jira_description_comments/HDFS-6532_comments.txt
DERBY-658,test harness improvements required for running on non-ASCII systems,https://issues.apache.org/jira/browse/DERBY-658,,10594,Closed,intermit_apache_jira_description_comments/DERBY-658_description.txt,Fixed,intermit_apache_jira_description_comments/DERBY-658_comments.txt
CASSANDRA-17469,Test Failure: org.apache.cassandra.db.commitlog.GroupCommitLogTest,https://issues.apache.org/jira/browse/CASSANDRA-17469,,12310865,Resolved,intermit_apache_jira_description_comments/CASSANDRA-17469_description.txt,Duplicate,intermit_apache_jira_description_comments/CASSANDRA-17469_comments.txt
SOLR-11722,API to create a Time Routed Alias and first collection,https://issues.apache.org/jira/browse/SOLR-11722,,12310230,Closed,intermit_apache_jira_description_comments/SOLR-11722_description.txt,Fixed,intermit_apache_jira_description_comments/SOLR-11722_comments.txt
DRILL-7844,Some GitHub Actions builds intermittently fail,https://issues.apache.org/jira/browse/DRILL-7844,"github, github-actions",12313820,Resolved,intermit_apache_jira_description_comments/DRILL-7844_description.txt,Done,intermit_apache_jira_description_comments/DRILL-7844_comments.txt
FLEX-12581,First history state isnt stored when using history manager,https://issues.apache.org/jira/browse/FLEX-12581,,12313521,Closed,intermit_apache_jira_description_comments/FLEX-12581_description.txt,Later,intermit_apache_jira_description_comments/FLEX-12581_comments.txt
AMBARI-18194,"Hsi-Hs2: Mondrian tests intermittently fail with ""java.io.IOException: Connection reset by peer"" ",https://issues.apache.org/jira/browse/AMBARI-18194,,12312020,Resolved,intermit_apache_jira_description_comments/AMBARI-18194_description.txt,Fixed,intermit_apache_jira_description_comments/AMBARI-18194_comments.txt
