Issue Key,Title,Link,Labels,Project ID,Project Key,Project Name,Status,Resolution,GitHub Project Link
CAMEL-7694,RestletGroovyIssueTest fails intermittently,https://issues.apache.org/jira/browse/CAMEL-7694,,12311211,CAMEL,Camel,Resolved,Fixed,https://github.com/apache/camel
DERBY-1902,Intermittent failures in predicatePushdown.sql,https://issues.apache.org/jira/browse/DERBY-1902,,10594,DERBY,Derby,Closed,Duplicate,https://github.com/apache/derby
HDFS-2043,TestHFlush failing intermittently,https://issues.apache.org/jira/browse/HDFS-2043,,12310942,HDFS,Hadoop HDFS,Closed,Fixed,https://github.com/apache/hadoop hdfs
HDFS-10281,o.a.h.hdfs.server.namenode.ha.TestPendingCorruptDnMessages fails intermittently,https://issues.apache.org/jira/browse/HDFS-10281,,12310942,HDFS,Hadoop HDFS,Resolved,Fixed,https://github.com/apache/hadoop hdfs
ZOOKEEPER-1264,FollowerResyncConcurrencyTest failing intermittently,https://issues.apache.org/jira/browse/ZOOKEEPER-1264,,12310801,ZOOKEEPER,ZooKeeper,Closed,Fixed,https://github.com/apache/zookeeper
YARN-1281,TestZKRMStateStoreZKClientConnections fails intermittently,https://issues.apache.org/jira/browse/YARN-1281,,12313722,YARN,Hadoop YARN,Closed,Fixed,https://github.com/apache/hadoop yarn
MAPREDUCE-4402,TestFileInputFormat fails intermittently,https://issues.apache.org/jira/browse/MAPREDUCE-4402,,12310941,MAPREDUCE,Hadoop Map/Reduce,Closed,Fixed,https://github.com/apache/hadoop map/reduce
AMBARI-23380,"Fix intermittent ""No such file or directory"" error in TestHostCleanup",https://issues.apache.org/jira/browse/AMBARI-23380,"pull-request-available, unit-test",12312020,AMBARI,Ambari,Resolved,Fixed,https://github.com/apache/ambari
HDFS-540,TestNameNodeMetrics fails intermittently,https://issues.apache.org/jira/browse/HDFS-540,,12310942,HDFS,Hadoop HDFS,Closed,Cannot Reproduce,https://github.com/apache/hadoop hdfs
AMBARI-22155,Intermittent failure of FlumeTimelineMetricsSinkTest,https://issues.apache.org/jira/browse/AMBARI-22155,,12312020,AMBARI,Ambari,Resolved,Fixed,https://github.com/apache/ambari
HDDS-2866,Intermittent failure in TestOzoneManagerRocksDBLogging,https://issues.apache.org/jira/browse/HDDS-2866,pull-request-available,12321922,HDDS,Apache Ozone,Resolved,Fixed,https://github.com/apache/apache ozone
NIFI-10075,Intermittent Failures in TestListSFTP,https://issues.apache.org/jira/browse/NIFI-10075,,12316020,NIFI,Apache NiFi,Resolved,Fixed,https://github.com/apache/apache nifi
HADOOP-9230,TestUniformSizeInputFormat fails intermittently,https://issues.apache.org/jira/browse/HADOOP-9230,distcp,12310240,HADOOP,Hadoop Common,Closed,Fixed,https://github.com/apache/hadoop common
HDDS-1035,Intermittent TestRootList failure,https://issues.apache.org/jira/browse/HDDS-1035,,12321922,HDDS,Apache Ozone,Resolved,Fixed,https://github.com/apache/apache ozone
ZOOKEEPER-1354,AuthTest.testBadAuthThenSendOtherCommands fails intermittently,https://issues.apache.org/jira/browse/ZOOKEEPER-1354,,12310801,ZOOKEEPER,ZooKeeper,Resolved,Fixed,https://github.com/apache/zookeeper
HDFS-16227,testMoverWithStripedFile fails intermittently,https://issues.apache.org/jira/browse/HDFS-16227,pull-request-available,12310942,HDFS,Hadoop HDFS,Resolved,Fixed,https://github.com/apache/hadoop hdfs
YARN-9325,TestQueueManagementDynamicEditPolicy fails intermittent,https://issues.apache.org/jira/browse/YARN-9325,,12313722,YARN,Hadoop YARN,Resolved,Fixed,https://github.com/apache/hadoop yarn
YARN-9315,TestCapacitySchedulerMetrics fails intermittently,https://issues.apache.org/jira/browse/YARN-9315,,12313722,YARN,Hadoop YARN,Resolved,Fixed,https://github.com/apache/hadoop yarn
NIFI-11191,Intermittent Failures in HikariCPConnectionPoolTest,https://issues.apache.org/jira/browse/NIFI-11191,,12316020,NIFI,Apache NiFi,Resolved,Fixed,https://github.com/apache/apache nifi
CALCITE-1561,Intermittent test failures,https://issues.apache.org/jira/browse/CALCITE-1561,,12315524,CALCITE,Calcite,Open,,https://github.com/apache/calcite
DERBY-6297,Intermittent failures in XplainStatisticsTest.testSimpleXplainOnly,https://issues.apache.org/jira/browse/DERBY-6297,,10594,DERBY,Derby,Closed,Fixed,https://github.com/apache/derby
AMQ-4376,JoramJmsTest QueueBrowserTest.testSenderBrowser fails intermittently.,https://issues.apache.org/jira/browse/AMQ-4376,,12311210,AMQ,ActiveMQ,Resolved,Fixed,https://github.com/apache/activemq
HADOOP-17040,Fix intermittent failure of ITestBlockingThreadPoolExecutorService,https://issues.apache.org/jira/browse/HADOOP-17040,,12310240,HADOOP,Hadoop Common,Resolved,Fixed,https://github.com/apache/hadoop common
HADOOP-14852,Intermittent failure of S3Guard TestConsistencyListFiles,https://issues.apache.org/jira/browse/HADOOP-14852,,12310240,HADOOP,Hadoop Common,Resolved,Cannot Reproduce,https://github.com/apache/hadoop common
SLIDER-1212,testAgentEcho UT fails intermittently ,https://issues.apache.org/jira/browse/SLIDER-1212,,12315422,SLIDER,Slider,Resolved,Fixed,https://github.com/apache/slider
PROTON-1807,Disable intermittently failing test,https://issues.apache.org/jira/browse/PROTON-1807,,12313720,PROTON,Qpid Proton,Closed,Fixed,https://github.com/apache/qpid proton
AMBARI-24796,Intermittent CredentialStoreTest test failure,https://issues.apache.org/jira/browse/AMBARI-24796,pull-request-available,12312020,AMBARI,Ambari,Resolved,Fixed,https://github.com/apache/ambari
HADOOP-12609,Fix intermittent failure of TestDecayRpcScheduler,https://issues.apache.org/jira/browse/HADOOP-12609,,12310240,HADOOP,Hadoop Common,Resolved,Fixed,https://github.com/apache/hadoop common
HARMONY-2820,[classlib] intermittent failure of tests.api.java.util.TimerTaskTest,https://issues.apache.org/jira/browse/HARMONY-2820,,12310050,HARMONY,Harmony,Closed,Fixed,https://github.com/apache/harmony
NIFI-9949,Intermittent Failures in TestPutSFTP testPutSFTPBatching,https://issues.apache.org/jira/browse/NIFI-9949,,12316020,NIFI,Apache NiFi,Resolved,Fixed,https://github.com/apache/apache nifi
ZOOKEEPER-2718,org.apache.zookeeper.server.quorum.StandaloneDisabledTest fails intermittently,https://issues.apache.org/jira/browse/ZOOKEEPER-2718,"ppc64le, x86",12310801,ZOOKEEPER,ZooKeeper,Closed,Fixed,https://github.com/apache/zookeeper
CXF-6583,MessageListenerTest#testLocalTransaction fails intermittently,https://issues.apache.org/jira/browse/CXF-6583,,12310511,CXF,CXF,Closed,Fixed,https://github.com/apache/cxf
HBASE-13732,TestHBaseFsck#testParallelWithRetriesHbck fails intermittently,https://issues.apache.org/jira/browse/HBASE-13732,,12310753,HBASE,HBase,Closed,Fixed,https://github.com/apache/hbase
TEZ-3616,TestMergeManager#testLocalDiskMergeMultipleTasks fails intermittently ,https://issues.apache.org/jira/browse/TEZ-3616,"ppc64le, x86",12314426,TEZ,Apache Tez,Closed,Fixed,https://github.com/apache/apache tez
METRON-2252,PcapTopologyIntegrationTest Intermittent Failures,https://issues.apache.org/jira/browse/METRON-2252,,12319323,METRON,Metron (Retired),Done,Done,https://github.com/apache/metron (retired)
HDDS-1341,TestContainerReplication#testContainerReplication fails intermittently,https://issues.apache.org/jira/browse/HDDS-1341,pull-request-available,12321922,HDDS,Apache Ozone,Resolved,Fixed,https://github.com/apache/apache ozone
ARIES-410,Application itests fail intermittently,https://issues.apache.org/jira/browse/ARIES-410,,12310981,ARIES,Aries,Resolved,Fixed,https://github.com/apache/aries
YARN-9491,TestApplicationMasterServiceFair>ApplicationMasterServiceTestBase.testUpdateTrackingUrl fails intermittent,https://issues.apache.org/jira/browse/YARN-9491,,12313722,YARN,Hadoop YARN,Resolved,Fixed,https://github.com/apache/hadoop yarn
HADOOP-17018,Intermittent failing of ITestAbfsStreamStatistics in ABFS,https://issues.apache.org/jira/browse/HADOOP-17018,,12310240,HADOOP,Hadoop Common,Resolved,Fixed,https://github.com/apache/hadoop common
ARROW-6150,[Python] Intermittent HDFS error,https://issues.apache.org/jira/browse/ARROW-6150,,12319525,ARROW,Apache Arrow,Closed,Not A Problem,https://github.com/apache/apache arrow
HDFS-7130,TestDataTransferKeepalive fails intermittently on Windows.,https://issues.apache.org/jira/browse/HDFS-7130,,12310942,HDFS,Hadoop HDFS,Closed,Fixed,https://github.com/apache/hadoop hdfs
MDEP-655,The unpack integration test fails intermittent.,https://issues.apache.org/jira/browse/MDEP-655,,12317227,MDEP,Maven Dependency Plugin,Closed,Done,https://github.com/apache/maven dependency plugin
ZOOKEEPER-1606,intermittent failures in ZkDatabaseCorruptionTest on jenkins,https://issues.apache.org/jira/browse/ZOOKEEPER-1606,"newbie, test-patch",12310801,ZOOKEEPER,ZooKeeper,Closed,Fixed,https://github.com/apache/zookeeper
GEODE-7905,RedisDistDUnitTest failing intermittently in CI,https://issues.apache.org/jira/browse/GEODE-7905,,12318420,GEODE,Geode,Resolved,Won't Fix,https://github.com/apache/geode
NIFI-2665,InvokeScriptedProcessor intermittently fails validation,https://issues.apache.org/jira/browse/NIFI-2665,,12316020,NIFI,Apache NiFi,Resolved,Fixed,https://github.com/apache/apache nifi
HDDS-5345,Intermittent timeout in TestOzoneManagerHA.init,https://issues.apache.org/jira/browse/HDDS-5345,,12321922,HDDS,Apache Ozone,Resolved,Fixed,https://github.com/apache/apache ozone
AMBARI-23299,Intermittent failure in TestAgentStompResponses,https://issues.apache.org/jira/browse/AMBARI-23299,,12312020,AMBARI,Ambari,Resolved,Fixed,https://github.com/apache/ambari
TEZ-3617,TestHistoryParser#testParserWithSuccessfulJob fails intermittently,https://issues.apache.org/jira/browse/TEZ-3617,"ppc64le, x86",12314426,TEZ,Apache Tez,Patch Available,,https://github.com/apache/apache tez
METRON-1426,SensorIndexingConfigControllerIntegrationTest fails intermittently,https://issues.apache.org/jira/browse/METRON-1426,,12319323,METRON,Metron (Retired),Done,Done,https://github.com/apache/metron (retired)
YARN-9501,TestCapacitySchedulerOvercommit#testReducePreemptAndCancel fails intermittent,https://issues.apache.org/jira/browse/YARN-9501,,12313722,YARN,Hadoop YARN,Resolved,Fixed,https://github.com/apache/hadoop yarn
MAPREDUCE-3304,TestRMContainerAllocator#testBlackListedNodes fails intermittently,https://issues.apache.org/jira/browse/MAPREDUCE-3304,test,12310941,MAPREDUCE,Hadoop Map/Reduce,Closed,Fixed,https://github.com/apache/hadoop map/reduce
YARN-9551,TestTimelineClientV2Impl.testSyncCall fails intermittently,https://issues.apache.org/jira/browse/YARN-9551,pull-request-available,12313722,YARN,Hadoop YARN,Resolved,Fixed,https://github.com/apache/hadoop yarn
HADOOP-8713,TestRPCCompatibility fails intermittently with JDK7,https://issues.apache.org/jira/browse/HADOOP-8713,java7,12310240,HADOOP,Hadoop Common,Closed,Fixed,https://github.com/apache/hadoop common
FLEX-12992,closing event is firing intermittently,https://issues.apache.org/jira/browse/FLEX-12992,,12313521,FLEX,Apache Flex,Closed,Cannot Reproduce,https://github.com/apache/apache flex
BOOKKEEPER-709,SlowBookieTest#testSlowBookie fails intermittently,https://issues.apache.org/jira/browse/BOOKKEEPER-709,tests,12311293,BOOKKEEPER,Bookkeeper,Resolved,Fixed,https://github.com/apache/bookkeeper
ARROW-16978,[C#] Intermittent Archery Failures,https://issues.apache.org/jira/browse/ARROW-16978,pull-request-available,12319525,ARROW,Apache Arrow,Resolved,Fixed,https://github.com/apache/apache arrow
ZOOKEEPER-1414,"QuorumPeerMainTest.testQuorum, testBadPackets are failing intermittently",https://issues.apache.org/jira/browse/ZOOKEEPER-1414,test,12310801,ZOOKEEPER,ZooKeeper,Closed,Fixed,https://github.com/apache/zookeeper
KNOX-656,Test GatewayLdapPosixGroupFuncTest failing intermittently,https://issues.apache.org/jira/browse/KNOX-656,,12314427,KNOX,Apache Knox,Closed,Fixed,https://github.com/apache/apache knox
HDFS-6631,TestPread#testHedgedReadLoopTooManyTimes fails intermittently.,https://issues.apache.org/jira/browse/HDFS-6631,,12310942,HDFS,Hadoop HDFS,Closed,Fixed,https://github.com/apache/hadoop hdfs
DERBY-861,Intermittent failure of store/readlocks.sql,https://issues.apache.org/jira/browse/DERBY-861,,10594,DERBY,Derby,Closed,Fixed,https://github.com/apache/derby
CAMEL-12025,Possible Intermittent failures in ReactorStreamsServiceTest,https://issues.apache.org/jira/browse/CAMEL-12025,,12311211,CAMEL,Camel,Resolved,Fixed,https://github.com/apache/camel
GEODE-5177,InitializedDiskRegionWithIoExceptionRegressionTest fails intermittently with NoSubscriptionServersAvailableException,https://issues.apache.org/jira/browse/GEODE-5177,pull-request-available,12318420,GEODE,Geode,Closed,Fixed,https://github.com/apache/geode
MAPREDUCE-6036,TestJobEndNotifier fails intermittently in branch-2,https://issues.apache.org/jira/browse/MAPREDUCE-6036,,12310941,MAPREDUCE,Hadoop Map/Reduce,Closed,Fixed,https://github.com/apache/hadoop map/reduce
OAK-7646,UploadStagingCacheTest#testConcurrentSameAddRequest fails intermittently,https://issues.apache.org/jira/browse/OAK-7646,,12313221,OAK,Jackrabbit Oak,Closed,Fixed,https://github.com/apache/jackrabbit oak
GEODE-6643,Fix intermittent failure of GfshCommandIntegrationTest on Windows,https://issues.apache.org/jira/browse/GEODE-6643,,12318420,GEODE,Geode,Closed,Fixed,https://github.com/apache/geode
FLUME-592,Fix intermittent / flaky tests for v0.9.4,https://issues.apache.org/jira/browse/FLUME-592,,12311321,FLUME,Flume,Closed,Fixed,https://github.com/apache/flume
DERBY-5406,Intermittent failures in CompressTableTest and TruncateTableTest,https://issues.apache.org/jira/browse/DERBY-5406,,10594,DERBY,Derby,Closed,Fixed,https://github.com/apache/derby
GEODE-6317,CacheConnectionJUnitTest fails intermittently on Windows with JDK 11,https://issues.apache.org/jira/browse/GEODE-6317,pull-request-available,12318420,GEODE,Geode,Closed,Fixed,https://github.com/apache/geode
HADOOP-8732,Address intermittent test failures on Windows,https://issues.apache.org/jira/browse/HADOOP-8732,,12310240,HADOOP,Hadoop Common,Resolved,Fixed,https://github.com/apache/hadoop common
GEODE-280,GroupByPartitionedQueryDUnitTest.testCompactRangeIndex fails intermittently,https://issues.apache.org/jira/browse/GEODE-280,CI,12318420,GEODE,Geode,Closed,Fixed,https://github.com/apache/geode
HADOOP-7888,TestFailoverProxy fails intermittently on trunk,https://issues.apache.org/jira/browse/HADOOP-7888,,12310240,HADOOP,Hadoop Common,Closed,Fixed,https://github.com/apache/hadoop common
YARN-9316,TestPlacementConstraintsUtil#testInterAppConstraintsByAppID fails intermittently,https://issues.apache.org/jira/browse/YARN-9316,,12313722,YARN,Hadoop YARN,Resolved,Fixed,https://github.com/apache/hadoop yarn
HDFS-10333,Intermittent org.apache.hadoop.hdfs.TestFileAppend failure in trunk,https://issues.apache.org/jira/browse/HDFS-10333,,12310942,HDFS,Hadoop HDFS,Resolved,Fixed,https://github.com/apache/hadoop hdfs
HDFS-12167,Ozone: Intermittent failure TestContainerPersistence#testListKey,https://issues.apache.org/jira/browse/HDFS-12167,,12310942,HDFS,Hadoop HDFS,Resolved,Fixed,https://github.com/apache/hadoop hdfs
IMPALA-7912,Inconsistent and intermittent behavior of queries,https://issues.apache.org/jira/browse/IMPALA-7912,,12321021,IMPALA,IMPALA,Resolved,Not A Bug,https://github.com/apache/impala
HDFS-15077,Fix intermittent failure of TestDFSClientRetries#testLeaseRenewSocketTimeout,https://issues.apache.org/jira/browse/HDFS-15077,,12310942,HDFS,Hadoop HDFS,Resolved,Fixed,https://github.com/apache/hadoop hdfs
HBASE-4842,[hbck] Fix intermittent failures on TestHBaseFsck.testHBaseFsck,https://issues.apache.org/jira/browse/HBASE-4842,,12310753,HBASE,HBase,Closed,Fixed,https://github.com/apache/hbase
HADOOP-13101,"TestDNS#{testDefaultDnsServer,testNullDnsServer} failed intermittently",https://issues.apache.org/jira/browse/HADOOP-13101,,12310240,HADOOP,Hadoop Common,Open,,https://github.com/apache/hadoop common
ZOOKEEPER-597,ASyncHammerTest is failing intermittently on hudson trunk,https://issues.apache.org/jira/browse/ZOOKEEPER-597,,12310801,ZOOKEEPER,ZooKeeper,Closed,Fixed,https://github.com/apache/zookeeper
FLEX-13012,mxunit test case fails intermittently,https://issues.apache.org/jira/browse/FLEX-13012,,12313521,FLEX,Apache Flex,Closed,Fixed,https://github.com/apache/apache flex
FALCON-1161,Test case feedFeedBasePathExists fails intermittently,https://issues.apache.org/jira/browse/FALCON-1161,,12314429,FALCON,Falcon,Closed,Fixed,https://github.com/apache/falcon
HDFS-11630,TestThrottledAsyncCheckerTimeout fails intermittently in Jenkins builds,https://issues.apache.org/jira/browse/HDFS-11630,,12310942,HDFS,Hadoop HDFS,Resolved,Fixed,https://github.com/apache/hadoop hdfs
HADOOP-13713,ITestS3AContractRootDir.testRmEmptyRootDirNonRecursive failing intermittently,https://issues.apache.org/jira/browse/HADOOP-13713,,12310240,HADOOP,Hadoop Common,Resolved,Cannot Reproduce,https://github.com/apache/hadoop common
MCHECKSTYLE-333,Intermittent NPE on checkstyle:check,https://issues.apache.org/jira/browse/MCHECKSTYLE-333,,12317223,MCHECKSTYLE,Maven Checkstyle Plugin,Open,,https://github.com/apache/maven checkstyle plugin
NIFI-9766,Intermittent failure of SearchElasticsearchTest in GitHub Actions,https://issues.apache.org/jira/browse/NIFI-9766,,12316020,NIFI,Apache NiFi,Resolved,Fixed,https://github.com/apache/apache nifi
CXF-7076,Intermittent failure in WSDL cache,https://issues.apache.org/jira/browse/CXF-7076,,12310511,CXF,CXF,Closed,Fixed,https://github.com/apache/cxf
DERBY-1457,lang/triggerGeneral.sql fails intermittently,https://issues.apache.org/jira/browse/DERBY-1457,,10594,DERBY,Derby,Closed,Duplicate,https://github.com/apache/derby
APEXMALHAR-2230,Intermittent test failure in Kafka module,https://issues.apache.org/jira/browse/APEXMALHAR-2230,,12318824,APEXMALHAR,Apache Apex Malhar,Open,,https://github.com/apache/apache apex malhar
MAPREDUCE-5373,TestFetchFailure.testFetchFailureMultipleReduces could fail intermittently,https://issues.apache.org/jira/browse/MAPREDUCE-5373,,12310941,MAPREDUCE,Hadoop Map/Reduce,Closed,Fixed,https://github.com/apache/hadoop map/reduce
GORA-611,Fix intermittent test failures with HBase module,https://issues.apache.org/jira/browse/GORA-611,,12311172,GORA,Apache Gora,Resolved,Fixed,https://github.com/apache/apache gora
AMBARI-21714,Intermittent unit test failure in ExecutionCommandWrapperTest ,https://issues.apache.org/jira/browse/AMBARI-21714,,12312020,AMBARI,Ambari,Resolved,Fixed,https://github.com/apache/ambari
NIFI-11976,Intermittent Test Failures in TestListenTCPRecord on Windows,https://issues.apache.org/jira/browse/NIFI-11976,,12316020,NIFI,Apache NiFi,Resolved,Fixed,https://github.com/apache/apache nifi
HDFS-5904,TestFileStatus fails intermittently on trunk and branch2,https://issues.apache.org/jira/browse/HDFS-5904,java7,12310942,HDFS,Hadoop HDFS,Closed,Fixed,https://github.com/apache/hadoop hdfs
HDDS-8956,Intermittent timeout in TestDeleteContainerHandler,https://issues.apache.org/jira/browse/HDDS-8956,,12321922,HDDS,Apache Ozone,Resolved,Cannot Reproduce,https://github.com/apache/apache ozone
HDDS-2368,TestOzoneManagerDoubleBufferWithDummyResponse failing intermittently,https://issues.apache.org/jira/browse/HDDS-2368,pull-request-available,12321922,HDDS,Apache Ozone,Resolved,Fixed,https://github.com/apache/apache ozone
METRON-1870,Intermittent Stellar REST test failures,https://issues.apache.org/jira/browse/METRON-1870,,12319323,METRON,Metron (Retired),Done,Done,https://github.com/apache/metron (retired)
HDDS-2989,Intermittent timeout in TestBlockManager,https://issues.apache.org/jira/browse/HDDS-2989,pull-request-available,12321922,HDDS,Apache Ozone,Resolved,Fixed,https://github.com/apache/apache ozone
LUCENENET-484,Some possibly major tests intermittently fail ,https://issues.apache.org/jira/browse/LUCENENET-484,,12310290,LUCENENET,Lucene.Net,Resolved,Fixed,https://github.com/apache/lucene.net
HDDS-7879,Intermittent BindException in HA integration tests,https://issues.apache.org/jira/browse/HDDS-7879,pull-request-available,12321922,HDDS,Apache Ozone,Resolved,Fixed,https://github.com/apache/apache ozone
HDFS-1206,TestFiHFlush fails intermittently,https://issues.apache.org/jira/browse/HDFS-1206,,12310942,HDFS,Hadoop HDFS,Closed,Fixed,https://github.com/apache/hadoop hdfs
RATIS-1830,Intermittent failure in TestRetryPolicy,https://issues.apache.org/jira/browse/RATIS-1830,,12320820,RATIS,Ratis,Resolved,Fixed,https://github.com/apache/ratis
RATIS-1662,Intermittent failure in testEnforceLeader,https://issues.apache.org/jira/browse/RATIS-1662,,12320820,RATIS,Ratis,Resolved,Fixed,https://github.com/apache/ratis
HDDS-3154,Intermittent failure in Test2WayCommitInRatis,https://issues.apache.org/jira/browse/HDDS-3154,pull-request-available,12321922,HDDS,Apache Ozone,Resolved,Fixed,https://github.com/apache/apache ozone
KAFKA-4193,FetcherTest fails intermittently ,https://issues.apache.org/jira/browse/KAFKA-4193,,12311720,KAFKA,Kafka,Resolved,Fixed,https://github.com/apache/kafka
HDDS-3098,TestDeleteWithSlowFollower is failing intermittently,https://issues.apache.org/jira/browse/HDDS-3098,pull-request-available,12321922,HDDS,Apache Ozone,Resolved,Fixed,https://github.com/apache/apache ozone
RATIS-1363,Intermittent failure in TestInstallSnapshotNotificationWithGrpc,https://issues.apache.org/jira/browse/RATIS-1363,,12320820,RATIS,Ratis,Resolved,Fixed,https://github.com/apache/ratis
FALCON-1901,Intermittent IT test failures,https://issues.apache.org/jira/browse/FALCON-1901,,12314429,FALCON,Falcon,Resolved,Fixed,https://github.com/apache/falcon
AMQ-4288,OptimizedAckTest fails intermittently,https://issues.apache.org/jira/browse/AMQ-4288,,12311210,AMQ,ActiveMQ,Resolved,Fixed,https://github.com/apache/activemq
HDDS-8089,Intermittent failure in TestOmSnapshot.checkKey,https://issues.apache.org/jira/browse/HDDS-8089,pull-request-available,12321922,HDDS,Apache Ozone,Resolved,Fixed,https://github.com/apache/apache ozone
SOLR-6151,Intermittent TestReplicationHandlerBackup failures,https://issues.apache.org/jira/browse/SOLR-6151,,12310230,SOLR,Solr,Closed,Fixed,https://github.com/apache/solr
YARN-4380,TestResourceLocalizationService.testDownloadingResourcesOnContainerKill fails intermittently,https://issues.apache.org/jira/browse/YARN-4380,,12313722,YARN,Hadoop YARN,Closed,Fixed,https://github.com/apache/hadoop yarn
HDDS-4693,Intermittent failure in TestContainerStateMachine,https://issues.apache.org/jira/browse/HDDS-4693,,12321922,HDDS,Apache Ozone,Resolved,Abandoned,https://github.com/apache/apache ozone
HARMONY-6391,[classlib][luni] org.apache.harmony.luni.tests.java.io.UnixFileTest.test_getCanonicalPath intermittent failure,https://issues.apache.org/jira/browse/HARMONY-6391,,12310050,HARMONY,Harmony,Closed,Fixed,https://github.com/apache/harmony
KNOX-1990,Fix intermittent JUnit test failures in RemoteConfigurationRegistryJAASConfigTest,https://issues.apache.org/jira/browse/KNOX-1990,,12314427,KNOX,Apache Knox,Resolved,Fixed,https://github.com/apache/apache knox
HDDS-3089,TestSCMNodeManager intermittent crash,https://issues.apache.org/jira/browse/HDDS-3089,pull-request-available,12321922,HDDS,Apache Ozone,Resolved,Fixed,https://github.com/apache/apache ozone
HDFS-733,TestBlockReport fails intermittently,https://issues.apache.org/jira/browse/HDFS-733,,12310942,HDFS,Hadoop HDFS,Resolved,Duplicate,https://github.com/apache/hadoop hdfs
TEZ-888,TestAMNodeMap.testNodeSelfBlacklist failing intermittently,https://issues.apache.org/jira/browse/TEZ-888,,12314426,TEZ,Apache Tez,Closed,Fixed,https://github.com/apache/apache tez
TEZ-885,TestTaskScheduler intermittent failures,https://issues.apache.org/jira/browse/TEZ-885,,12314426,TEZ,Apache Tez,Closed,Fixed,https://github.com/apache/apache tez
TEZ-1010,TestAMNodeMap.testSelfBlacklist fails intermittently,https://issues.apache.org/jira/browse/TEZ-1010,,12314426,TEZ,Apache Tez,Closed,Fixed,https://github.com/apache/apache tez
GEODE-220,DistributedNoAckRegionOffHeapDUnitTest.testRemoteCacheWriter fails intermittently,https://issues.apache.org/jira/browse/GEODE-220,,12318420,GEODE,Geode,Closed,Fixed,https://github.com/apache/geode
YARN-7387,org.apache.hadoop.yarn.server.resourcemanager.scheduler.capacity.TestIncreaseAllocationExpirer fails intermittently,https://issues.apache.org/jira/browse/YARN-7387,,12313722,YARN,Hadoop YARN,Resolved,Fixed,https://github.com/apache/hadoop yarn
SLIDER-654,TestStandaloneAgentAM intermittent failures,https://issues.apache.org/jira/browse/SLIDER-654,,12315422,SLIDER,Slider,Resolved,Fixed,https://github.com/apache/slider
