ABDERA-191,Intermittent zero-length response when retrieving Service Document,https://issues.apache.org/jira/browse/ABDERA-191,,12310505,ABDERA,Abdera,Closed,Fixed,https://github.com/apache/abdera
FALCON-1097,UT failure for ExpressionHelperTest,https://issues.apache.org/jira/browse/FALCON-1097,,12314429,FALCON,Falcon,Closed,Fixed,https://github.com/apache/falcon
FALCON-1162,Cluster submit succeeds when staging HDFS dir does not have 777 (ALL) permission ,https://issues.apache.org/jira/browse/FALCON-1162,,12314429,FALCON,Falcon,Resolved,Fixed,https://github.com/apache/falcon
FALCON-1469,Flaky EntityManagerJerseyIT#testDuplicateSubmitCommands,https://issues.apache.org/jira/browse/FALCON-1469,,12314429,FALCON,Falcon,Resolved,Fixed,https://github.com/apache/falcon
FALCON-1496,Flaky FalconPostProcessingTest,https://issues.apache.org/jira/browse/FALCON-1496,,12314429,FALCON,Falcon,Resolved,Fixed,https://github.com/apache/falcon
FALCON-1553,Flaky test in SchedulerUtilTest,https://issues.apache.org/jira/browse/FALCON-1553,,12314429,FALCON,Falcon,Resolved,Fixed,https://github.com/apache/falcon
FALCON-1901,Intermittent IT test failures,https://issues.apache.org/jira/browse/FALCON-1901,,12314429,FALCON,Falcon,Resolved,Fixed,https://github.com/apache/falcon
FALCON-2010,Fix UT errors due to ActiveMQ upgrade,https://issues.apache.org/jira/browse/FALCON-2010,,12314429,FALCON,Falcon,Resolved,Fixed,https://github.com/apache/falcon
FALCON-328,failed: A required class was missing while executing org.mortbay.jetty:maven-jetty-plugin:6.1.26:run: org/mortbay/util/Attributes,https://issues.apache.org/jira/browse/FALCON-328,build,12314429,FALCON,Falcon,Resolved,Fixed,https://github.com/apache/falcon
FALCON-584,Fix of ProcessInstanceRerunTest#testProcessInstanceRerunTimedOut,https://issues.apache.org/jira/browse/FALCON-584,,12314429,FALCON,Falcon,Resolved,Fixed,https://github.com/apache/falcon
GUACAMOLE-414,Certain VNC servers result in disconnection due to TLS errors,https://issues.apache.org/jira/browse/GUACAMOLE-414,,12319620,GUACAMOLE,Guacamole,Resolved,Fixed,https://github.com/apache/guacamole
HARMONY-2639,[drlvm][smoke tests] The test stress.Stack is invalid,https://issues.apache.org/jira/browse/HARMONY-2639,,12310050,HARMONY,Harmony,Closed,Fixed,https://github.com/apache/harmony
HARMONY-2982,[classlib][net ] java.net.URLClassLoader implementation is not thread safe.,https://issues.apache.org/jira/browse/HARMONY-2982,,12310050,HARMONY,Harmony,Closed,Fixed,https://github.com/apache/harmony
HARMONY-3101,[drlvm][smoke tests] smoke tests gc.WeakReferenceTest and gc.PhantomReferenceTest fail in some environment,https://issues.apache.org/jira/browse/HARMONY-3101,,12310050,HARMONY,Harmony,Closed,Fixed,https://github.com/apache/harmony
HARMONY-3300,[drlvm][smoke tests] test stress.Sync should be excluded on linux x86_64 OPT due to intermittent failure ,https://issues.apache.org/jira/browse/HARMONY-3300,,12310050,HARMONY,Harmony,Closed,Fixed,https://github.com/apache/harmony
HARMONY-3649,[drlvm][jit] SPECjbb2005 intermittently fails on EM64T in server mode,https://issues.apache.org/jira/browse/HARMONY-3649,,12310050,HARMONY,Harmony,Resolved,Fixed,https://github.com/apache/harmony
HARMONY-3711,[drlvm][test] kernel test RuntimeTest.test_freeMemory fails intermittently,https://issues.apache.org/jira/browse/HARMONY-3711,,12310050,HARMONY,Harmony,Closed,Fixed,https://github.com/apache/harmony
HARMONY-3861,[drlvm][jvmti] DRLVM jvmti test PopFrame1 intermittently failed on Linux x86,https://issues.apache.org/jira/browse/HARMONY-3861,,12310050,HARMONY,Harmony,Closed,Fixed,https://github.com/apache/harmony
HARMONY-4068,[classlib][luni] Jetty scenario fails on DRLVM with access violation exception,https://issues.apache.org/jira/browse/HARMONY-4068,,12310050,HARMONY,Harmony,Closed,Fixed,https://github.com/apache/harmony
HARMONY-4790,[drlvm][jvmti] EventTest014 JDWP stress test intermittently fails with assertion violations,https://issues.apache.org/jira/browse/HARMONY-4790,,12310050,HARMONY,Harmony,Closed,Fixed,https://github.com/apache/harmony
HARMONY-5077,[classlib][io] a stress test org.apache.harmony.test.stress.api.java.io.stress.readers.StringReader.StringReaderWriterStressTest.testManyStreams deadlocks,https://issues.apache.org/jira/browse/HARMONY-5077,,12310050,HARMONY,Harmony,Closed,Fixed,https://github.com/apache/harmony
HCATALOG-149,hbase storage driver tests fail intermittently,https://issues.apache.org/jira/browse/HCATALOG-149,,12311291,HCATALOG,HCatalog,Closed,Fixed,https://github.com/apache/hcatalog
HCATALOG-154,HBase bulkOSD and directOSD return inconsistent path for getOutputLocation(),https://issues.apache.org/jira/browse/HCATALOG-154,hbase,12311291,HCATALOG,HCatalog,Closed,Fixed,https://github.com/apache/hcatalog
HCATALOG-186,Downgrade ivy to 2.1.0 (currently 2.2.0) per HIVE-2580,https://issues.apache.org/jira/browse/HCATALOG-186,,12311291,HCATALOG,HCatalog,Closed,Fixed,https://github.com/apache/hcatalog
HCATALOG-18,Refactor TestRCFileInputStorageDriver,https://issues.apache.org/jira/browse/HCATALOG-18,,12311291,HCATALOG,HCatalog,Closed,Fixed,https://github.com/apache/hcatalog
JAMES-2317,DefaultMailboxesProvisioningFilterTest.createMailboxesIfNeededShouldNotGenerateExceptionsInConcurrentEnvironment is flaky,https://issues.apache.org/jira/browse/JAMES-2317,,10411,JAMES,James Server,Closed,Fixed,https://github.com/apache/james server
JAMES-2929,JDBCMailRepository broken: SQL and JDBC code out of sync,https://issues.apache.org/jira/browse/JAMES-2929,,10411,JAMES,James Server,Closed,Fixed,https://github.com/apache/james server
JAMES-3225,Provide automated builds for Apache James - (restore builds.apache.org ?) ,https://issues.apache.org/jira/browse/JAMES-3225,,10411,JAMES,James Server,Resolved,Fixed,https://github.com/apache/james server
JAMES-3477,MimeMessageCopyOnWriteProxy is not thread safe,https://issues.apache.org/jira/browse/JAMES-3477,,10411,JAMES,James Server,Closed,Fixed,https://github.com/apache/james server
JAMES-3767,Rename Pulsar based artifact,https://issues.apache.org/jira/browse/JAMES-3767,,10411,JAMES,James Server,Closed,Fixed,https://github.com/apache/james server
JAMES-4003,Avoid forwarding bounces as it might create infinite loops,https://issues.apache.org/jira/browse/JAMES-4003,,10411,JAMES,James Server,Closed,Fixed,https://github.com/apache/james server
JAMES-850,RemoteDeliveryTest intermitant failure,https://issues.apache.org/jira/browse/JAMES-850,,10411,JAMES,James Server,Closed,Fixed,https://github.com/apache/james server
KAFKA-10292,fix flaky streams/streams_broker_bounce_test.py,https://issues.apache.org/jira/browse/KAFKA-10292,,12311720,KAFKA,Kafka,Resolved,Fixed,https://github.com/apache/kafka
KAFKA-10579,Flaky test connect.integration.InternalTopicsIntegrationTest.testStartWhenInternalTopicsCreatedManuallyWithCompactForBrokersDefaultCleanupPolicy,https://issues.apache.org/jira/browse/KAFKA-10579,flaky-test,12311720,KAFKA,Kafka,Resolved,Fixed,https://github.com/apache/kafka
KAFKA-12677,The raftCluster always send to the wrong active controller and never update,https://issues.apache.org/jira/browse/KAFKA-12677,kip-500,12311720,KAFKA,Kafka,Resolved,Fixed,https://github.com/apache/kafka
KAFKA-15675,Fix flaky ConnectorRestartApiIntegrationTest.testMultiWorkerRestartOnlyConnector() test,https://issues.apache.org/jira/browse/KAFKA-15675,flaky-test,12311720,KAFKA,Kafka,Resolved,Fixed,https://github.com/apache/kafka
KAFKA-1642,[Java New Producer Kafka Trunk] CPU Usage Spike to 100% when network connection is lost,https://issues.apache.org/jira/browse/KAFKA-1642,,12311720,KAFKA,Kafka,Resolved,Fixed,https://github.com/apache/kafka
KAFKA-5140,Flaky ResetIntegrationTest,https://issues.apache.org/jira/browse/KAFKA-5140,flaky-test,12311720,KAFKA,Kafka,Resolved,Fixed,https://github.com/apache/kafka
KAFKA-7979,Flaky Test PartitionTest#testDelayedFetchAfterAppendRecords,https://issues.apache.org/jira/browse/KAFKA-7979,flaky-test,12311720,KAFKA,Kafka,Resolved,Fixed,https://github.com/apache/kafka
KAFKA-8033,Flaky Test PlaintextConsumerTest#testFetchInvalidOffset,https://issues.apache.org/jira/browse/KAFKA-8033,flaky-test,12311720,KAFKA,Kafka,Resolved,Fixed,https://github.com/apache/kafka
KAFKA-8070,System test ConsumerGroupCommandTest fails intermittently with SSL,https://issues.apache.org/jira/browse/KAFKA-8070,,12311720,KAFKA,Kafka,Resolved,Fixed,https://github.com/apache/kafka
KAFKA-8972,KafkaConsumer.unsubscribe could leave inconsistent user rebalance callback state,https://issues.apache.org/jira/browse/KAFKA-8972,,12311720,KAFKA,Kafka,Resolved,Fixed,https://github.com/apache/kafka
KARAF-1195,FeaturesServiceImplTest intermittently fails on slower machines,https://issues.apache.org/jira/browse/KARAF-1195,,12311140,KARAF,Karaf,Closed,Fixed,https://github.com/apache/karaf
KARAF-4499,Can't start a crashed server on Windows,https://issues.apache.org/jira/browse/KARAF-4499,,12311140,KARAF,Karaf,Resolved,Fixed,https://github.com/apache/karaf
KARAF-4542,Add an option to feature:list to list features provided by a given repository,https://issues.apache.org/jira/browse/KARAF-4542,,12311140,KARAF,Karaf,Resolved,Fixed,https://github.com/apache/karaf
KARAF-4962,Karaf itests are flaky on Jenkins,https://issues.apache.org/jira/browse/KARAF-4962,,12311140,KARAF,Karaf,Resolved,Fixed,https://github.com/apache/karaf
KARAF-5845,JMXSecurityTest.testJMXSecurityAs[Admin|Manager] is flaky,https://issues.apache.org/jira/browse/KARAF-5845,itest,12311140,KARAF,Karaf,Resolved,Fixed,https://github.com/apache/karaf
KARAF-6042,WebSocketExampleTest is flaky,https://issues.apache.org/jira/browse/KARAF-6042,,12311140,KARAF,Karaf,Resolved,Fixed,https://github.com/apache/karaf
KARAF-6772,Removing JAASLoginService entry in jetty.xml causes an error (workaround for camel-servlet basic auth) in Karaf 4.2.9,https://issues.apache.org/jira/browse/KARAF-6772,,12311140,KARAF,Karaf,Resolved,Fixed,https://github.com/apache/karaf
KARAF-7220,Upgrade commons-compress to 1.21,https://issues.apache.org/jira/browse/KARAF-7220,,12311140,KARAF,Karaf,Resolved,Fixed,https://github.com/apache/karaf
KARAF-7554,Add feature:status command,https://issues.apache.org/jira/browse/KARAF-7554,,12311140,KARAF,Karaf,Resolved,Fixed,https://github.com/apache/karaf
KARAF-910,Race between FeatureService and ConfigAdmin for resolving mvn: URLs?,https://issues.apache.org/jira/browse/KARAF-910,,12311140,KARAF,Karaf,Resolved,Fixed,https://github.com/apache/karaf
MADLIB-1014,SVM: Install-check fails in PG 9.5 due to CV,https://issues.apache.org/jira/browse/MADLIB-1014,,12318923,MADLIB,Apache MADlib,Closed,Fixed,https://github.com/apache/apache madlib
MADLIB-1225,Sporadic install check failures in random forest,https://issues.apache.org/jira/browse/MADLIB-1225,,12318923,MADLIB,Apache MADlib,Closed,Fixed,https://github.com/apache/apache madlib
MADLIB-1232,Install check periodically fails on larger clusters,https://issues.apache.org/jira/browse/MADLIB-1232,,12318923,MADLIB,Apache MADlib,Closed,Fixed,https://github.com/apache/apache madlib
MADLIB-1233,DT: install-check fails intermittently ,https://issues.apache.org/jira/browse/MADLIB-1233,,12318923,MADLIB,Apache MADlib,Closed,Fixed,https://github.com/apache/apache madlib
